==10880== NVPROF is profiling process 10880, command: python gpu-opt_flow.py
==10880== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==10880== Execution timeout, stopping the application...
==10880== Profiling application: python gpu-opt_flow.py
==10880== Warning: 1 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==10880== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
7.48694s  32.658us             (3 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [4812]
7.49260s  1.0410us                    -               -         -         -         -        8B  7.3289MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.49273s  1.4557ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [4827]
7.49418s  1.5570ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [4833]
7.49573s  125.00us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [4829]
7.49585s  123.39us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [4835]
7.49597s  760.54us            (2 240 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [4831]
7.49672s  761.94us            (2 240 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [4837]
7.49767s  624.13us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4840]
7.49830s  3.6527ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4843]
7.50196s  184.74us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4849]
7.50214s  619.91us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4851]
7.50277s  3.6512ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4854]
7.50642s  183.44us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4860]
7.50661s  617.62us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4862]
7.50723s  3.6520ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4865]
7.51089s  183.49us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4871]
7.51144s  486.00us            (20 60 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [4876]
7.51192s  480.43us            (20 60 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [4878]
7.51240s  137.29us             (5 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [4880]
7.51254s  124.74us             (5 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [4882]
7.52986s  1.0930us                    -               -         -         -         -        8B  6.9802MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.52999s  1.6324ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [4897]
7.53161s  1.6283ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [4902]
7.53323s  222.19us                    -               -         -         -         -  1.1719MB  5.1505GB/s      Device      Device  NVIDIA Tegra X1         1        84  [CUDA memcpy DtoD]
7.53345s  216.57us                    -               -         -         -         -  1.1719MB  5.2843GB/s      Device      Device  NVIDIA Tegra X1         1        85  [CUDA memcpy DtoD]
7.53367s  2.3820ms            (3 480 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        84  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [4900]
7.53604s  2.3797ms            (3 480 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        85  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [4905]
7.53858s  2.4887ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4908]
7.54108s  11.277ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4911]
7.55236s  729.44us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4917]
7.55309s  2.4941ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4919]
7.55559s  10.781ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4922]
7.56637s  485.95us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4928]
7.56686s  2.0138ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4930]
7.56888s  7.6694ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [4933]
7.57655s  485.48us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        84  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [4939]
7.57993s  275.79us            (20 60 1)        (32 8 1)        19        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  void cv::cudev::grid_split_merge_detail::mergeC2<cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<int>, int2, cv::cudev::WithOutMask>(int, cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<cv::cudev::GlobPtr<int>>, int2, int, int) [4950]
7.58111s  2.1979ms                    -               -         -         -         -  2.3438MB  1.0414GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
7.63517s  30.625us                    -               -         -         -         -  300.00KB  9.3421GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63548s  34.948us                    -               -         -         -         -  300.00KB  8.1865GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63837s  84.638us             (5 60 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [4982]
7.63940s  86.825us             (5 60 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [4985]
7.63956s     625ns                    -               -         -         -         -       24B  36.621MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63963s     261ns                    -               -         -         -         -       24B  87.694MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63970s     261ns                    -               -         -         -         -       24B  87.694MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63977s     209ns                    -               -         -         -         -        4B  18.252MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63983s     260ns                    -               -         -         -         -        4B  14.672MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63988s     261ns                    -               -         -         -         -        4B  14.616MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.63994s     209ns                    -               -         -         -         -        4B  18.252MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.64001s     260ns                    -               -         -         -         -       24B  88.031MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.64090s     625ns                    -               -         -         -         -  18.750KB  28.610GB/s      Device           -  NVIDIA Tegra X1         1        89  [CUDA memset]
7.64099s     312ns                    -               -         -         -         -  18.750KB  57.312GB/s      Device           -  NVIDIA Tegra X1         1        90  [CUDA memset]
7.64362s  1.1460us                    -               -         -         -         -       40B  33.287MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.64373s  4.7808ms            (3 480 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5009]
7.64849s  4.7962ms            (3 480 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5015]
7.65325s  27.761us              (3 8 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5011]
7.65328s  81.095us             (1 60 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [5013]
7.65335s  26.667us              (3 8 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5017]
7.65338s  73.700us             (1 60 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [5019]
7.65356s  50.105us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5022]
7.65365s  407.51us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5025]
7.65406s  13.750us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5031]
7.65407s  45.573us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5033]
7.65412s  399.75us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5036]
7.65453s  13.229us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5042]
7.65454s  45.939us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5044]
7.65459s  399.59us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5047]
7.65500s  13.177us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5053]
7.65521s  29.115us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5058]
7.65525s  28.907us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5060]
7.65534s  9.7920us             (2 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [5062]
7.65541s  8.1780us             (2 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [5064]
7.65861s  1.0420us                    -               -         -         -         -       20B  18.305MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.65872s  2.6260ms            (3 480 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5079]
7.66133s  2.6326ms            (3 480 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5085]
7.66394s  43.907us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5081]
7.66398s  40.418us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5087]
7.66402s  175.21us            (1 120 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [5083]
7.66419s  173.34us            (1 120 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [5089]
7.66451s  153.34us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5092]
7.66467s  824.34us            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5095]
7.66550s  43.386us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5101]
7.66555s  146.31us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5103]
7.66570s  820.59us            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5106]
7.66652s  42.345us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5112]
7.66657s  147.97us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5114]
7.66672s  820.80us            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [5117]
7.66754s  42.032us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [5123]
7.66796s  113.44us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5130]
7.66807s  109.69us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [5132]
7.66818s  34.635us             (3 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [5134]
7.66825s  32.761us             (3 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [5136]
7.67394s     989ns                    -               -         -         -         -        8B  7.7143MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.67408s  1.4566ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        89  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5151]
7.67553s  1.4479ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        90  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [5157]
